Week,Time_slot,subject_candidates,result,value
1,1,"{11,43}","{11:58},{43:32},{43:55}",3.0
1,2,{35},{35:15},1.0
1,3,"{5,13,16,18,40,48,52}","{5:49},{13:23},{16:0},{18:11},{40:41},{40:54},{40:55},{48:33},{52:4}",18.0
1,4,"{28,35}","{28:55},{35:44}",2.0
1,5,{33},{33:32},1.0
1,6,{21},"{21:32},{21:49}",2.0
1,7,"{34,48,53}","{34:1},{34:49},{48:33},{53:32}",4.0
1,8,"{35,47}","{35:48},{47:32}",2.0
1,9,"{13,30,45}","{13:9},{30:8},{30:33},{45:32}",4.0
2,1,"{10,33}","{10:32},{33:1}",2.0
2,2,"{19,35}","{19:45},{35:13}",2.0
2,3,"{1,7,11,15}","{1:54},{7:11},{11:41},{15:5}",4.0
2,4,{33},{33:54},1.0
2,5,"{2,40}","{2:1},{40:7},{40:50},{40:55}",4.0
2,6,"{33,51}","{33:1},{51:32}",2.0
2,7,"{11,13,35,42}","{11:55},{13:45},{35:13},{42:44}",4.0
2,8,"{11,35}","{11:48},{35:27}",2.0
2,9,{38},"{38:50},{38:55}",2.0
3,1,{32},{32:15},1.0
3,2,{3},{3:49},1.0
3,3,"{6,13}","{6:49},{13:11}",2.0
3,4,"{11,13}","{11:58},{13:49}",2.0
3,6,"{13,52}","{13:39},{52:49}",2.0
3,7,{1},{1:49},1.0
3,8,{10},{10:49},1.0
3,9,{11},{11:58},1.0
4,1,"{11,21,28}","{11:20},{21:4},{21:35},{28:5}",4.0
4,2,"{35,48}","{35:11},{48:49}",2.0
4,3,"{14,18,43}","{14:0},{18:5},{43:11},{43:16}",13.0
4,4,"{5,11,35}","{5:16},{11:35},{35:34}",3.0
4,5,{16},{16:0},10.0
4,6,"{30,48}","{30:16},{30:49},{48:11}",3.0
4,7,"{1,11,40,45,53}","{1:14},{11:20},{40:0},{45:49},{53:11}",14.0
4,8,{15},{15:11},1.0
5,1,{11},{11:58},1.0
5,2,"{20,47}","{20:35},{20:49},{20:58},{47:10}",4.0
5,3,"{13,33,42,52}","{13:10},{33:49},{42:33},{52:4}",4.0
5,5,{19},{19:58},1.0
5,6,"{13,51}","{13:43},{51:49}",2.0
5,7,"{7,11}","{7:49},{11:51}",2.0
5,8,{11},{11:49},1.0
6,1,"{1,35}","{1:50},{35:15}",2.0
6,3,"{10,11}","{10:11},{11:41}",2.0
6,4,{35},{35:15},1.0
6,7,"{2,18}","{2:6},{18:11}",2.0
6,8,"{1,53}","{1:7},{53:11}",2.0
6,9,{45},{45:50},1.0
7,1,"{5,21}","{5:55},{21:34},{21:58}",3.0
7,2,"{30,48}","{30:13},{30:33},{48:8}",3.0
7,3,"{1,13,43}","{1:4},{13:33},{43:30},{43:55}",4.0
7,4,"{10,16}","{10:58},{16:4},{16:6},{16:15},{16:16},{16:54},{16:55}",7.0
7,5,"{6,32}","{6:16},{32:21}",2.0
7,6,"{1,33,48}","{1:54},{33:8},{48:33}",3.0
7,7,"{28,33,52}","{28:33},{33:29},{52:6}",3.0
7,8,"{3,11}","{3:8},{3:13},{11:54}",3.0
8,1,{18},{18:50},1.0
8,2,"{11,42}","{11:16},{42:49}",2.0
8,3,"{1,11,15,19}","{1:4},{11:16},{15:5},{19:49}",4.0
8,4,{43},"{43:16},{43:49}",2.0
8,5,{29},"{29:50},{29:55}",2.0
8,6,"{45,47}","{45:49},{47:12}",2.0
8,7,{29},"{29:49},{29:55}",2.0
8,8,"{11,21}","{11:54},{21:48},{21:49}",3.0
8,9,{33},{33:29},1.0
9,1,"{33,44,52}","{33:1},{44:13},{52:16}",3.0
9,2,{38},"{38:10},{38:49}",2.0
9,3,"{28,32}","{28:49},{32:16}",2.0
9,7,"{1,7,53}","{1:58},{7:49},{53:1}",3.0
9,9,{50},{50:58},1.0
10,2,{27},{27:49},1.0
10,3,{12},{12:49},1.0
10,4,{4},{4:49},1.0
10,5,{18},{18:32},1.0
10,8,{45},{45:49},1.0
10,9,{20},"{20:4},{20:32},{20:55}",3.0
11,2,{37},{37:58},1.0
11,3,{41},"{41:4},{41:6},{41:10},{41:11},{41:17},{41:22},{41:33},{41:55}",8.0
11,4,{10},{10:58},1.0
11,5,{15},{15:13},1.0
11,7,{7},{7:32},1.0
12,1,{2},{2:58},1.0
12,3,{33},{33:14},1.0
12,7,{6},{6:49},1.0
12,9,{30},"{30:8},{30:44}",2.0
