Week,Time_slot,subject_candidates,result,value
1,1,"{18, 5, 15}","{5:1},{15:55},{18:32}",3.0
1,2,{11},"{11:6},{11:49}",2.0
1,3,"{16, 52, 13}","{13:23},{16:4},{16:6},{16:11},{16:18},{16:33},{16:41},{16:49},{52:26},{52:54},{52:55}",11.0
1,4,"{53, 13}","{13:2},{53:8},{53:33},{53:44},{53:49}",5.0
1,5,{48},{48:55},1.0
1,6,{47},"{47:11},{47:32},{47:49}",3.0
1,7,{30},"{30:11},{30:28}",2.0
1,8,"{28, 21}","{21:49},{21:54},{28:11}",3.0
1,9,{45},"{45:1},{45:32},{45:33}",3.0
2,1,"{1, 10, 19}","{1:15},{1:50},{10:19},{10:32},{10:41},{10:44},{19:13}",7.0
2,2,"{48, 7}","{7:10},{7:13},{7:16},{7:28},{48:11}",5.0
2,3,{35},{35:6},1.0
2,4,{2},"{2:7},{2:50}",2.0
2,5,"{42, 35, 13}","{13:41},{35:1},{42:10}",3.0
2,6,{38},"{38:51},{38:54}",2.0
2,7,{40},"{40:44},{40:54},{40:55}",3.0
2,8,{51},"{51:11},{51:13},{51:32},{51:44}",4.0
2,9,{11},"{11:32},{11:50}",2.0
3,1,{43},"{43:32},{43:50}",2.0
3,2,"{40, 13}","{13:11},{40:7},{40:17},{40:49}",4.0
3,3,"{33, 3, 6}",{},0.545
3,4,"{10, 52, 13}","{10:10},{10:15},{10:20},{10:58},{13:33},{52:34},{52:49},{52:51}",8.0
3,5,"{33, 13}","{13:9},{33:7}",2.0
3,6,{1},"{1:26},{1:50}",2.0
3,7,{35},{35:58},1.0
3,8,{11},"{11:32},{11:49}",2.0
3,9,{34},"{34:8},{34:50}",2.0
4,1,{48},{48:5},1.0
4,2,{32},{32:7},1.0
4,3,"{18, 11, 28}","{11:10},{11:34},{18:49},{28:39}",4.0
4,4,"{5, 15}","{5:49},{15:11}",2.0
4,5,{48},"{48:10},{48:16}",2.0
4,6,{11},"{11:10},{11:49}",2.0
4,7,{30},"{30:11},{30:49}",2.0
4,8,{29},"{29:11},{29:49}",2.0
4,9,{33},{33:4},1.0
5,1,"{33, 20}","{20:4},{20:31},{20:35},{33:1}",4.0
5,2,{35},{35:8},1.0
5,3,"{21, 42, 13}","{13:23},{21:4},{21:49},{42:33}",4.0
5,4,"{35, 19}","{19:35},{35:49}",2.0
5,5,{33},{33:58},1.0
5,6,"{51, 13}","{13:8},{51:1},{51:31},{51:33},{51:49}",5.0
5,7,"{16, 7}","{7:1},{7:13},{7:33},{7:49},{16:4},{16:17},{16:31},{16:51},{16:54},{16:58}",10.0
5,8,{45},"{45:8},{45:13},{45:49}",3.0
5,9,{11},"{11:4},{11:58}",2.0
6,1,"{10, 11}","{10:12},{10:16},{10:19},{10:20},{11:31},{11:50}",6.0
6,2,{15},{15:16},1.0
6,3,{43},"{43:11},{43:55}",2.0
6,4,{53},"{53:11},{53:16},{53:44},{53:50}",4.0
6,5,{35},{35:7},1.0
6,6,"{32, 18}","{18:11},{32:28}",2.0
6,7,{40},"{40:1},{40:6},{40:44}",3.0
6,8,{45},"{45:11},{45:13},{45:44}",3.0
6,9,{2},"{2:41},{2:50}",2.0
7,1,"{5, 47}","{5:13},{47:29},{47:44},{47:55}",4.0
7,2,"{52, 13}","{13:33},{52:6},{52:8},{52:13}",4.0
7,3,{30},"{30:33},{30:55}",2.0
7,4,{48},{48:8},1.0
7,5,{11},"{11:13},{11:58}",2.0
7,6,"{1, 3, 28}","{1:26},{1:54},{3:29},{3:30},{3:33},{3:44},{28:8}",7.0
7,7,"{16, 6}","{6:13},{6:33},{6:46},{16:4},{16:29},{16:44},{16:54},{16:55},{16:58}",9.0
7,8,{1},"{1:44},{1:54}",2.0
7,9,"{10, 52}","{10:20},{10:26},{10:29},{10:47},{52:33},{52:34},{52:58}",7.0
8,1,{11},"{11:4},{11:16}",2.0
8,2,"{1, 18, 19, 42}","{1:7},{1:49},{18:21},{19:20},{42:16}",5.0
8,3,{14},"{14:16},{14:49},{14:55}",3.0
8,4,{45},"{45:31},{45:49},{45:50}",3.0
8,5,{43},"{43:50},{43:55}",2.0
8,6,{21},"{21:29},{21:49}",2.0
8,8,{11},"{11:34},{11:48}",2.0
8,9,{47},"{47:29},{47:50},{47:55}",3.0
9,1,{38},"{38:16},{38:27}",2.0
9,2,{33},{33:27},1.0
9,3,"{48, 28, 44}","{28:16},{44:49},{48:33}",3.0
9,6,{53},"{53:1},{53:10},{53:32},{53:33}",4.0
9,7,{15},{15:49},1.0
9,8,{1},"{1:29},{1:49}",2.0
9,9,"{50, 7}","{7:1},{7:29},{7:33},{7:50},{50:26},{50:27},{50:47},{50:58}",8.0
10,1,{12},"{12:4},{12:32}",2.0
10,2,{27},{27:8},1.0
10,3,{32},{32:55},1.0
10,5,{20},"{20:4},{20:13},{20:32}",3.0
10,7,"{18, 45}","{18:11},{45:28},{45:32},{45:49}",4.0
10,8,{4},"{4:13},{4:29},{4:49}",3.0
11,1,{41},"{41:4},{41:13},{41:17},{41:19},{41:32},{41:50},{41:55},{41:58}",8.0
11,3,"{52, 37}","{37:23},{52:4},{52:6},{52:17}",4.0
11,4,{7},"{7:11},{7:31},{7:33},{7:55}",4.0
11,9,{10},"{10:15},{10:41},{10:44},{10:50}",4.0
12,1,{2},"{2:44},{2:58}",2.0
12,2,{33},{33:8},1.0
12,6,{6},"{6:1},{6:29},{6:49}",3.0
12,8,{30},"{30:11},{30:49}",2.0
