Week,Time_slot,subject_candidates,result,value
1,1,"{18, 5, 15}","{5:32},{15:31},{18:1}",3.0
1,2,{11},"{11:8},{11:49}",2.0
1,3,"{16, 52, 13}","{13:45},{16:0},{52:0}",5.0
1,4,"{53, 13}","{13:49},{53:0}",3.0
1,5,{48},{48:32},1.0
1,6,{47},{47:0},2.0
1,7,{30},"{30:11},{30:49}",2.0
1,8,"{28, 21}","{21:11},{21:32},{28:49}",3.0
1,9,{45},{45:0},2.0
2,1,"{1, 10, 19}","{1:32},{1:50},{10:0},{19:34}",5.0
2,2,"{48, 7}","{7:0},{48:13}",3.0
2,3,{35},{35:11},1.0
2,4,{2},"{2:10},{2:50}",2.0
2,5,"{42, 35, 13}","{13:10},{35:48},{42:38}",3.0
2,6,{38},"{38:51},{38:54}",2.0
2,7,{40},{40:0},2.0
2,8,{51},{51:0},2.0
2,9,{11},"{11:48},{11:50}",2.0
3,1,{43},"{43:32},{43:50}",2.0
3,2,"{40, 13}","{13:23},{40:0}",3.0
3,3,"{33, 3, 6}","{3:0},{6:0},{33:49}",5.0
3,4,"{10, 52, 13}","{10:0},{13:49},{52:0}",5.0
3,5,"{33, 13}","{13:38},{33:17}",2.0
3,6,{1},"{1:49},{1:50}",2.0
3,7,{35},{35:11},1.0
3,8,{11},"{11:49},{11:51}",2.0
3,9,{34},"{34:33},{34:50}",2.0
4,1,{48},{48:5},1.0
4,2,{32},{32:11},1.0
4,3,"{18, 11, 28}","{11:34},{11:49},{18:11},{28:16}",4.0
4,4,"{5, 15}","{5:49},{15:11}",2.0
4,5,{48},"{48:16},{48:46}",2.0
4,6,{11},"{11:16},{11:49}",2.0
4,7,{30},"{30:11},{30:49}",2.0
4,8,{29},{29:0},2.0
4,9,{33},{33:14},1.0
5,1,"{33, 20}","{20:0},{33:4}",3.0
5,2,{35},{35:13},1.0
5,3,"{21, 42, 13}","{13:45},{21:4},{21:54},{42:49}",4.0
5,4,"{35, 19}","{19:53},{35:31}",2.0
5,5,{33},{33:13},1.0
5,6,"{51, 13}","{13:49},{51:0}",3.0
5,7,"{16, 7}","{7:0},{16:0}",4.0
5,8,{45},{45:0},2.0
5,9,{11},"{11:1},{11:58}",2.0
6,1,"{10, 11}","{10:0},{11:16},{11:50}",4.0
6,2,{15},{15:11},1.0
6,3,{43},"{43:11},{43:55}",2.0
6,4,{53},{53:0},2.0
6,5,{35},{35:13},1.0
6,6,"{32, 18}","{18:11},{32:16}",2.0
6,7,{40},{40:0},2.0
6,8,{45},{45:0},2.0
6,9,{2},"{2:1},{2:50}",2.0
7,1,"{5, 47}","{5:55},{47:0}",3.0
7,2,"{52, 13}","{13:33},{52:0}",3.0
7,3,{30},"{30:33},{30:55}",2.0
7,4,{48},{48:33},1.0
7,5,{11},"{11:55},{11:58}",2.0
7,6,"{1, 3, 28}","{1:6},{1:54},{3:0},{28:8}",5.0
7,7,"{16, 6}","{6:0},{16:0}",4.0
7,8,{1},"{1:44},{1:54}",2.0
7,9,"{10, 52}","{10:0},{52:0}",4.0
8,1,{11},"{11:4},{11:31}",2.0
8,2,"{1, 18, 19, 42}","{1:7},{1:49},{18:21},{19:57},{42:16}",5.0
8,3,{14},{14:0},2.0
8,4,{45},{45:0},2.0
8,5,{43},"{43:50},{43:55}",2.0
8,6,{21},"{21:49},{21:50}",2.0
8,8,{11},"{11:49},{11:54}",2.0
8,9,{47},{47:0},2.0
9,1,{38},"{38:1},{38:58}",2.0
9,2,{33},{33:13},1.0
9,3,"{48, 28, 44}","{28:49},{44:33},{48:5}",3.0
9,6,{53},{53:0},2.0
9,7,{15},{15:13},1.0
9,8,{1},"{1:7},{1:49}",2.0
9,9,"{50, 7}","{7:0},{50:0}",4.0
10,1,{12},"{12:4},{12:32}",2.0
10,2,{27},{27:49},1.0
10,3,{32},{32:11},1.0
10,5,{20},{20:0},2.0
10,7,"{18, 45}","{18:49},{45:0}",3.0
10,8,{4},{4:0},2.0
11,1,{41},{41:0},2.0
11,3,"{52, 37}","{37:4},{52:0}",3.0
11,4,{7},{7:0},2.0
11,9,{10},{10:0},2.0
12,1,{2},"{2:44},{2:58}",2.0
12,2,{33},{33:11},1.0
12,6,{6},{6:0},2.0
12,8,{30},"{30:11},{30:49}",2.0
